DATAFLOW,LAST UPDATE,freq,unit,tra_meas,airp_pr,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PAR_NL(1.0),25/09/24 11:00:00,A,PAS,PAS_CRD,NL_EHAM_BE_EBBR,2016,217117,
ESTAT:AVIA_PAR_NL(1.0),25/09/24 11:00:00,A,PAS,PAS_CRD,NL_EHAM_BE_EBBR,2017,254517,
ESTAT:AVIA_PAR_NL(1.0),25/09/24 11:00:00,A,PAS,PAS_CRD,NL_EHAM_BE_EBBR,2018,276741,
ESTAT:AVIA_PAR_NL(1.0),25/09/24 11:00:00,A,PAS,PAS_CRD,NL_EHAM_BE_EBBR,2019,281091,
ESTAT:AVIA_PAR_NL(1.0),25/09/24 11:00:00,A,PAS,PAS_CRD,NL_EHAM_DE_EDDB,2016,308639,
ESTAT:AVIA_PAR_NL(1.0),25/09/24 11:00:00,A,PAS,PAS_CRD,NL_EHAM_DE_EDDB,2017,306400,
ESTAT:AVIA_PAR_NL(1.0),25/09/24 11:00:00,A,PAS,PAS_CRD,NL_EHAM_DE_EDDB,2018,316638,
ESTAT:AVIA_PAR_NL(1.0),25/09/24 11:00:00,A,PAS,PAS_CRD,NL_EHAM_DE_EDDB,2019,317320,
ESTAT:AVIA_PAR_NL(1.0),25/09/24 11:00:00,A,PAS,PAS_CRD,NL_EHAM_DE_EDDF,2016,817607,
ESTAT:AVIA_PAR_NL(1.0),25/09/24 11:00:00,A,PAS,PAS_CRD,NL_EHAM_DE_EDDF,2017,842440,
ESTAT:AVIA_PAR_NL(1.0),25/09/24 11:00:00,A,PAS,PAS_CRD,NL_EHAM_DE_EDDF,2018,865042,
ESTAT:AVIA_PAR_NL(1.0),25/09/24 11:00:00,A,PAS,PAS_CRD,NL_EHAM_DE_EDDF,2019,882532,
ESTAT:AVIA_PAR_NL(1.0),25/09/24 11:00:00,A,PAS,PAS_CRD,NL_EHAM_DE_EDDH,2016,501085,
ESTAT:AVIA_PAR_NL(1.0),25/09/24 11:00:00,A,PAS,PAS_CRD,NL_EHAM_DE_EDDH,2017,458972,
ESTAT:AVIA_PAR_NL(1.0),25/09/24 11:00:00,A,PAS,PAS_CRD,NL_EHAM_DE_EDDH,2018,481597,
ESTAT:AVIA_PAR_NL(1.0),25/09/24 11:00:00,A,PAS,PAS_CRD,NL_EHAM_DE_EDDH,2019,477238,
ESTAT:AVIA_PAR_NL(1.0),25/09/24 11:00:00,A,PAS,PAS_CRD,NL_EHAM_DE_EDDL,2016,227196,
ESTAT:AVIA_PAR_NL(1.0),25/09/24 11:00:00,A,PAS,PAS_CRD,NL_EHAM_DE_EDDL,2017,234651,
ESTAT:AVIA_PAR_NL(1.0),25/09/24 11:00:00,A,PAS,PAS_CRD,NL_EHAM_DE_EDDL,2018,254440,
ESTAT:AVIA_PAR_NL(1.0),25/09/24 11:00:00,A,PAS,PAS_CRD,NL_EHAM_DE_EDDL,2019,257004,
ESTAT:AVIA_PAR_NL(1.0),25/09/24 11:00:00,A,PAS,PAS_CRD,NL_EHAM_DE_EDDM,2016,795126,
