DATAFLOW,LAST UPDATE,freq,unit,tra_meas,airp_pr,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBAW_ES_LEAL,2016,32916,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBAW_ES_LEAL,2017,37888,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBAW_ES_LEAL,2018,38870,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBAW_ES_LEAL,2019,51048,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBAW_ES_LEBL,2016,27062,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBAW_ES_LEBL,2017,29076,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBAW_ES_LEBL,2018,24670,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBAW_ES_LEIB,2017,10030,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBAW_ES_LEIB,2018,10194,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBAW_ES_LEIB,2019,10887,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBAW_ES_LELC,2017,33994,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBAW_ES_LELC,2018,21314,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBAW_ES_LEMG,2016,28048,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBAW_ES_LEMG,2017,37856,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBAW_ES_LEMG,2018,39304,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBAW_ES_LEMG,2019,45877,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBAW_ES_LEPA,2016,10296,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBAW_ES_LEPA,2017,10483,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBAW_ES_LEPA,2018,12234,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBAW_ES_LEPA,2019,15632,
ESTAT:AVIA_PAR_BE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,BE_EBBR_DE_EDDB,2016,429770,
