DATAFLOW,LAST UPDATE,freq,unit,tra_meas,airp_pr,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_BE_EBBR,2016,428055,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_BE_EBBR,2017,302160,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_BE_EBBR,2018,160682,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_BE_EBBR,2019,163609,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_DE_EDDK,2016,598755,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_DE_EDDK,2017,426315,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_DE_EDDK,2018,320150,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_DE_EDDK,2019,117798,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_DE_EDDM,2016,93221,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_DE_EDDM,2017,89345,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_ES_GCLP,2016,75922,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_ES_GCLP,2017,80777,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_ES_GCTS,2016,144714,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_ES_GCTS,2017,136914,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_ES_GCTS,2018,128714,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_ES_GCTS,2019,92458,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_ES_LEBL,2016,499302,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_ES_LEBL,2017,459485,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_ES_LEBL,2018,466347,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_ES_LEBL,2019,483143,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_ES_LEMD,2016,213869,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_ES_LEMD,2017,204474,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_ES_LEMD,2018,201921,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_ES_LEMD,2019,191430,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_ES_LEMG,2016,154464,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_ES_LEMG,2017,180639,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_ES_LEMG,2018,187593,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_ES_LEMG,2019,189164,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_ES_LEPA,2016,300230,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_ES_LEPA,2017,336555,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_ES_LEPA,2018,288407,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_ES_LEPA,2019,276963,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_FR_LFBO,2017,143497,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_FR_LFBO,2018,140609,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_FR_LFMN,2016,103121,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_FR_LFMN,2017,104099,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_FR_LFMN,2018,105114,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_FR_LFMN,2019,107042,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_FR_LFPG,2019,114499,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_FR_LFPO,2016,300121,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_FR_LFPO,2017,296642,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_FR_LFPO,2018,77010,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_NL_EHAM,2016,307809,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_NL_EHAM,2017,306158,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_NL_EHAM,2018,316669,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDB_NL_EHAM,2019,317384,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_DE_EDDF,2016,328466,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_DE_EDDF,2017,344392,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_DE_EDDF,2018,331996,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_DE_EDDF,2019,331928,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_DE_EDDH,2016,44042,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_DE_EDDK,2016,126659,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_DE_EDDK,2017,144001,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_DE_EDDK,2018,133809,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_DE_EDDK,2019,131007,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_DE_EDDL,2016,233540,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_DE_EDDL,2017,200467,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_DE_EDDL,2018,154484,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_DE_EDDL,2019,169791,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_DE_EDDM,2016,224440,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_DE_EDDM,2017,233942,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_DE_EDDM,2018,223871,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_DE_EDDM,2019,209838,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_DE_EDDS,2016,97950,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_DE_EDDS,2017,102021,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_DE_EDDS,2018,91356,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_DE_EDDS,2019,89542,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_ES_GCFV,2017,22598,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_ES_GCFV,2018,21236,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_ES_GCLP,2017,22325,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_ES_GCLP,2018,22915,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_ES_LEPA,2016,114663,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_ES_LEPA,2017,98861,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_ES_LEPA,2018,107261,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_ES_LEPA,2019,105443,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_NL_EHAM,2016,26969,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_NL_EHAM,2017,40510,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_NL_EHAM,2018,54175,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDC_NL_EHAM,2019,51679,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDE_ES_GCFV,2016,11846,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDE_ES_GCFV,2017,11357,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDE_ES_GCFV,2018,10530,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDE_ES_GCLP,2016,12298,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDE_ES_GCLP,2017,18346,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDE_ES_GCLP,2018,10894,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDE_ES_GCTS,2016,10631,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDE_ES_GCTS,2017,11643,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDE_ES_GCTS,2018,11829,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDE_ES_LEMG,2016,10002,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDE_ES_LEMG,2017,10292,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDE_ES_LEPA,2016,25709,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDE_ES_LEPA,2017,46403,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDE_ES_LEPA,2018,37267,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_BE_EBBR,2016,464345,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_BE_EBBR,2017,546540,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_BE_EBBR,2018,586849,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_BE_EBBR,2019,576019,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDC,2016,328467,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDC,2017,344400,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDC,2018,332141,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDC,2019,331930,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDG,2016,123224,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDG,2017,132571,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDG,2018,135385,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDG,2019,132578,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDH,2016,1371452,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDH,2017,1395192,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDH,2018,1439284,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDH,2019,1426073,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDL,2016,371841,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDL,2017,422813,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDL,2018,425575,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDL,2019,379383,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDM,2016,1120265,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDM,2017,1171178,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDM,2018,1192188,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDM,2019,1136769,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDN,2016,261250,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDN,2017,272011,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDN,2018,263436,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDN,2019,249465,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDP,2016,270065,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDP,2017,302998,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDP,2018,289020,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDP,2019,264452,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDS,2016,344060,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDS,2017,370557,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDS,2018,321771,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDS,2019,321345,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDT,2016,1934759,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDT,2017,1955873,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDT,2018,2292579,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDT,2019,2249667,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDV,2016,347598,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDV,2017,374118,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDV,2018,381651,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDV,2019,353782,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDW,2016,330515,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDW,2017,341003,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDW,2018,331603,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDDW,2019,303122,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDNY,2016,125273,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDNY,2017,147503,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDNY,2018,153761,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_DE_EDNY,2019,145720,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_GCFV,2016,211708,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_GCFV,2017,209253,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_GCFV,2018,224726,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_GCFV,2019,180194,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_GCLP,2016,239304,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_GCLP,2017,258450,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_GCLP,2018,260440,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_GCLP,2019,239609,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_GCRR,2016,86838,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_GCRR,2017,116763,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_GCRR,2018,136155,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_GCRR,2019,109005,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_GCTS,2016,170983,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_GCTS,2017,195313,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_GCTS,2018,244073,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_GCTS,2019,231516,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_LEAL,2017,108806,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_LEAL,2018,135162,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_LEAL,2019,132178,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_LEBB,2016,235528,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_LEBB,2017,241278,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_LEBB,2018,231872,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_LEBB,2019,234773,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_LEBL,2016,1008852,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_LEBL,2017,931786,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_LEBL,2018,1007563,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_LEBL,2019,1032333,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_LEIB,2016,107163,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_LEIB,2017,89265,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_LEIB,2018,94463,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_LEIB,2019,94133,
ESTAT:AVIA_PAR_DE(1.0),23/09/24 11:00:00,A,PAS,PAS_CRD,DE_EDDF_ES_LEJR,2016,79876,
