DATAFLOW,LAST UPDATE,freq,unit,tra_meas,airp_pr,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_DE_EDDB,2018,36649,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_DE_EDDB,2019,38305,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_DE_EDDF,2016,174811,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_DE_EDDF,2017,184450,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_DE_EDDF,2018,196319,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_DE_EDDF,2019,202300,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_DE_EDDM,2016,207822,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_DE_EDDM,2017,210872,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_DE_EDDM,2018,217437,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_DE_EDDM,2019,216312,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_DE_EDDR,2016,26334,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_DE_EDDR,2017,27716,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_DE_EDDR,2018,25609,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_DE_EDDR,2019,26878,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_DE_EDDT,2016,56253,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_DE_EDDT,2017,64127,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_DE_EDDT,2018,62196,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_DE_EDDT,2019,110714,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_GCLP,2016,30847,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_GCLP,2017,32884,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_GCLP,2018,34164,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_GCLP,2019,32936,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_GCRR,2016,21050,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_GCRR,2017,22150,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_GCRR,2018,21672,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_GCRR,2019,23070,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_GCTS,2016,36516,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_GCTS,2017,36334,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_GCTS,2018,37415,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_GCTS,2019,35010,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_LEBL,2016,65777,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_LEBL,2017,73447,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_LEBL,2018,112851,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_LEBL,2019,112740,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_LEMD,2016,53304,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_LEMD,2017,108974,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_LEMD,2018,124289,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_LEMD,2019,124509,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_LEMG,2016,45788,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_LEMG,2017,50408,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_LEMG,2018,54278,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_LEMG,2019,53691,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_LEPA,2016,97689,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_LEPA,2017,97175,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_LEPA,2018,109945,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_LEPA,2019,115561,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_ES_LEZL,2019,33131,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_FR_LFBD,2018,43299,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_FR_LFBD,2019,56446,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_FR_LFMN,2016,54070,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_FR_LFMN,2017,63441,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_FR_LFMN,2018,76909,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_FR_LFMN,2019,92681,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_NL_EHAM,2016,163357,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_NL_EHAM,2017,167340,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_NL_EHAM,2018,180302,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD,LU_ELLX_NL_EHAM,2019,184711,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_DE_EDDB,2018,18021,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_DE_EDDB,2019,19125,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_DE_EDDF,2016,85914,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_DE_EDDF,2017,91372,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_DE_EDDF,2018,95255,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_DE_EDDF,2019,96808,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_DE_EDDM,2016,103967,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_DE_EDDM,2017,106331,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_DE_EDDM,2018,110657,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_DE_EDDM,2019,112766,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_DE_EDDR,2016,12433,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_DE_EDDR,2017,13245,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_DE_EDDR,2018,12707,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_DE_EDDR,2019,13274,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_DE_EDDT,2016,27773,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_DE_EDDT,2017,31762,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_DE_EDDT,2018,30907,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_DE_EDDT,2019,54983,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_GCLP,2016,18005,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_GCLP,2017,17949,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_GCLP,2018,18611,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_GCLP,2019,18859,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_GCRR,2016,9569,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_GCRR,2017,9871,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_GCRR,2018,9705,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_GCRR,2019,11557,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_GCTS,2016,14936,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_GCTS,2017,16394,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_GCTS,2018,16910,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_GCTS,2019,14997,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_LEBL,2016,32800,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_LEBL,2017,36977,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_LEBL,2018,56564,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_LEBL,2019,56701,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_LEMD,2016,26427,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_LEMD,2017,54253,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_LEMD,2018,62438,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_LEMD,2019,62406,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_LEMG,2016,26545,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_LEMG,2017,25087,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_LEMG,2018,27153,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_LEMG,2019,26861,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_LEPA,2016,48713,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_LEPA,2017,48443,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_LEPA,2018,54952,
ESTAT:AVIA_PAR_LU(1.0),23/09/24 11:00:00,A,PAS,PAS_BRD_ARR,LU_ELLX_ES_LEPA,2019,58087,
